jobtitle,experience_level,skill_count,employability_score,readiness_level
Node.js Developer -startup,0-2 Years,1,2,Low
"Solution Architecture - Energy & Utility, Noida/ Chennai",0-2 Years,1,2,Low
"HR Executive/sr.executive Recruitment, Exp-2 to 4 Years",0-2 Years,1,2,Low
Senior Manager/manager,3-5 Years,1,3,Medium
Sr. Software Engineer - PHP - Ecommerce Startup,3-5 Years,1,3,Medium
Technical Consultant (SAP B1 / SAP Business One / B 1),0-2 Years,1,2,Low
Required Computer Operator in Bank,Fresher,1,1,Low
Cluster Manager - Urgent Requirement - Delhi/gurgaon & Bangalore,3-5 Years,1,3,Medium
iOS Application Developer - Xcode,0-2 Years,1,2,Low
Recruitment Manager-work From Home,0-2 Years,1,2,Low
"Manager- Indirect Taxation - Custom - Telecom, Delhi Gurgaon",3-5 Years,1,3,Medium
Sr. Business Development Manager,0-2 Years,1,2,Low
Walk-in Interview for Cabin Crew- Noida-12th May 2016,Fresher,1,1,Low
Direct Sales Executive / Sr. Executive,Fresher,1,1,Low
Sales Officer,3-5 Years,1,3,Medium
Urgent Opening for - Junior Accountant ( Male / Female ),Fresher,1,1,Low
Hiring for Technical Sales/technical Support call now 9266166884,Fresher,1,1,Low
Junior Accounts Executive,Fresher,1,1,Low
PHP Developers / Sr. PHP Developers,0-2 Years,1,2,Low
Android Developer,3-5 Years,1,3,Medium
Hiring Senior Executive - Customer Services for Franklin Templeton,3-5 Years,1,3,Medium
Freshers/graduates for HR Recruiter,Fresher,1,1,Low
Web Content Management,Fresher,1,1,Low
IT Monitoring || Trianz Holdings || Delhi,0-2 Years,1,2,Low
Executive/ Sr. Executive/ Assistant Manager/ Manager,Fresher,1,1,Low
Junior System Administrator,Fresher,1,1,Low
Graphics Designer,0-2 Years,1,2,Low
Hiring for HR Recruiter- Manufacturing,0-2 Years,1,2,Low
Hiring for International Brands@@divya 8586082750,Fresher,1,1,Low
Software Developer Asp.net (mvc/ Tier Architecture),0-2 Years,1,2,Low
Lead- Operations - Start up,0-2 Years,1,2,Low
Job for HR & Admin at Wissen India Pvt ltd - Gurgaon Office,Fresher,1,1,Low
Community Manager - Startup,0-2 Years,1,2,Low
Lead Developer Backend - Python,3-5 Years,1,3,Medium
Urgent Opening for Hyperion DRM @ Noida,3-5 Years,1,3,Medium
G*****gle ( Gurgaon) :: Technical Support / Customer Support,0-2 Years,1,2,Low
Digital Marketing Manager - Startup,3-5 Years,1,3,Medium
Abstracting & Indexing Associate,Fresher,1,1,Low
Client Relationship Manager,0-2 Years,1,2,Low
Amazing Opportunity to Earn Good Money - Freelance Recruiters.,0-2 Years,1,2,Low
Project Manager,3-5 Years,1,3,Medium
"Billing - Manager/executive(esi,cghs,echs)",0-2 Years,1,2,Low
".Net Developer (walk-in Interviews 3-5 May, 9-3 pm)",3-5 Years,1,3,Medium
Contract Management Professionals | Leading MnC | Gurgaon / Noida,3-5 Years,1,3,Medium
Urgent Requirement for Domestic Hindi BPO For Fresher Call 9911187779,Fresher,1,1,Low
SFDC Developer - Gurgaon,3-5 Years,1,3,Medium
HR Recruiter - Freelance (work from Home),0-2 Years,1,2,Low
Back Office Coordinator,0-2 Years,1,2,Low
GM Planning,Fresher,1,1,Low
Customer Care Executive-voice Process-international BPO 8586082750,Fresher,1,1,Low
MS DOT NET 4.0 & MS SQL Server 2008 Developer,3-5 Years,1,3,Medium
Executive / Sr. Executive for International Holiday Packages,0-2 Years,1,2,Low
Associate / AM - Indirect Tax,0-2 Years,1,2,Low
Ui/ux Designer - Start up,3-5 Years,1,3,Medium
Call Center in Delhi 10th & 12th pass Freshers 7838546643,Fresher,1,1,Low
"Win Server Administration, Vmware Administrator",0-2 Years,1,2,Low
Medical Bililng Urgent Care\ar\ Payments\ Freshers,Fresher,1,1,Low
Backend Executive in Bank,Fresher,1,1,Low
Immediate Requirement for Marketing/sales Trainee,0-2 Years,1,2,Low
"Urgent Hiring for Bpo,call Centre Job",Fresher,1,1,Low
"Admin Executive Walk-in on 7th May, 2016 ~ For Gurgaon Location",Fresher,1,1,Low
Urgent Opening for Sr.software Engineer (SQL Server),3-5 Years,1,3,Medium
US Staffing Specialist,Fresher,1,1,Low
Process Coordinator for Chandni Chowk call Me-8459748450,0-2 Years,1,2,Low
Production & Maintenance Engineer,0-2 Years,1,2,Low
Hirings For Part Time Online Jobs-noida,Fresher,1,1,Low
Logistic & Store Handling Incharge,0-2 Years,1,2,Low
EA to MD for a Renowned Media House - Noida,0-2 Years,1,2,Low
"Microwave Engineer , DT Engineer @ Simtech",Fresher,1,1,Low
Hiring for Customer Service Profile(blended) -okhla,Fresher,1,1,Low
Sr iOS Mobile Developer - Ooad/sdlc,3-5 Years,1,3,Medium
Accountant,0-2 Years,1,2,Low
Trainer,0-2 Years,1,2,Low
Openings for Manager - Derivative Collateral Management,Fresher,1,1,Low
Hiring for Content Writer_noida_call_7042106740,0-2 Years,1,2,Low
Sharepoint Developers/ Leads/ Architects - Gurgaon,0-2 Years,1,2,Low
Sr. Merchandisers Knits,5+ Years,1,4,Medium
Commercial Head Sales - Manufacturing Domain ( CA / Icwa),0-2 Years,1,2,Low
Urgently Required Radiologist/ultrasonologist(part Time/full Time),Fresher,1,1,Low
Instalively - Digital Marketing Manager,3-5 Years,1,3,Medium
Staff Nurse/gurgaon,0-2 Years,1,2,Low
Area Sales Manager - Modern Trade - Ecommerce,3-5 Years,1,3,Medium
Customer Service/cce/technical Support/travel/blended/bpo,Fresher,1,1,Low
Work From Home-c2h & Permenant Staffng - IT Recruitment-females Only,0-2 Years,1,2,Low
Specialist,3-5 Years,1,3,Medium
Recruitment Executive/sr Executive,Fresher,1,1,Low
HR Recruitment Executive,Fresher,1,1,Low
Hiring for Malayalam Voice Process,Fresher,1,1,Low
"Desktop Management ,monitering",0-2 Years,1,2,Low
Chef-de-partie (bakery & Confectionary),0-2 Years,1,2,Low
Mainframe System Programmer,3-5 Years,1,3,Medium
Customer Care Executive / Call Center-international BPO 8586082750,Fresher,1,1,Low
Hiring for Technical Process in Gurgaon (day Shifts) - call 9628373767,Fresher,1,1,Low
Recruitment Consultant - Pharma and Lifesciences,0-2 Years,1,2,Low
Opening for Service Now in Noida and Gurgaon,0-2 Years,1,2,Low
"Area Sales Manager, Sales Officer",3-5 Years,1,3,Medium
Exhibitions - Business Development & Client Servicing,0-2 Years,1,2,Low
Trainer - ( Male Candidate Only),3-5 Years,1,3,Medium
Backend Operations,Fresher,1,1,Low
Supply Chain Manager,0-2 Years,1,2,Low
Opening For-brand Executive(male & Female)-for Reputed Companies,0-2 Years,1,2,Low
Required Business Development Managers for Real Estate in Gurgaon,0-2 Years,1,2,Low
Hiring HR Generalist-gurgaon,3-5 Years,1,3,Medium
"Business Development Executive(b2b Corporate Sales) Delhi,bangalore",3-5 Years,1,3,Medium
Linux Administrator - Urgent Requiremnet,3-5 Years,1,3,Medium
Medical Representative,0-2 Years,1,2,Low
Sales Support (New Delhi),Fresher,1,1,Low
QA -testing,Fresher,1,1,Low
Free Lance IT Recruiters,Fresher,1,1,Low
Recruiters - Work From Home,0-2 Years,1,2,Low
"MEGA Drive IN TOP International BPO FOR CCE, Travel 9560898515",Fresher,1,1,Low
Case Manager (school Set Up),Fresher,1,1,Low
Pharmacist -For Reputed Pharmaceutical Research Company,Fresher,1,1,Low
Sales Application Engineer @ Reputed Manufacturing Industry,0-2 Years,1,2,Low
GFS Associate II Treasury,3-5 Years,1,3,Medium
Sales Manager - Conventions Sales,5+ Years,1,4,Medium
Urgent Requirement for Datawarehouse/etl,3-5 Years,1,3,Medium
Urgently Required PHP Developer (1-3yr),0-2 Years,1,2,Low
NOC Engineer,0-2 Years,1,2,Low
Hardware & Networking Engineer,Fresher,1,1,Low
Sales and Business Development Executive with Packaging Co. (2-4yrs),0-2 Years,1,2,Low
Sales Officer/senior Sales Officer:: Sparsh CCTV,0-2 Years,1,2,Low
Developer,3-5 Years,1,3,Medium
CTO - Startup,0-2 Years,1,2,Low
Team Member Business Intelligence,Fresher,1,1,Low
Senior QA Engineer(gurgaon/bangalore),3-5 Years,1,3,Medium
Urgent Walk in for Customer Care Profile on 3-may-16 to 4-may-16,Fresher,1,1,Low
Production cum PD Knits & Woven Nift &pearl Buying House M/F Noida,3-5 Years,1,3,Medium
Inside Sales - US Market - IT MNC - Only Male Candidates,0-2 Years,1,2,Low
Visual Aid Specialist ( Location : Gurgaon),3-5 Years,1,3,Medium
Office Assistant,Fresher,1,1,Low
Urgent Requirement- Social Media Marketing,0-2 Years,1,2,Low
Assistant - Purchase,0-2 Years,1,2,Low
IT Recruiter,0-2 Years,1,2,Low
Network Recorders!! Technical Process!! Captive Unit!! Gurgaon,Fresher,1,1,Low
Contract TO HIRE Position,3-5 Years,1,3,Medium
Sr. Engineer Tool Design For Automobile Industry In Gurgaon Location.,Fresher,1,1,Low
Urgent Requirement ETL Developer with Plsql+informatica,0-2 Years,1,2,Low
Need 12th Pass Executives in Flipkart Non Voice Process 9891498003,Fresher,1,1,Low
BFSI - Recruitment Specialist,0-2 Years,1,2,Low
Urgent Hiring For Technical Sales Call Ambika 7838352217,0-2 Years,1,2,Low
Senior Architect - Java/ J2ee/ Spring/ Webservices - Banking Domain,0-2 Years,1,2,Low
"Telecaller / Noida, Ghaziabad",Fresher,1,1,Low
Urgent Requirement for Workday Human Resource Managem .developer,3-5 Years,1,3,Medium
Mobile & Web Developer - Android/ios,0-2 Years,1,2,Low
Technical Support Executive,3-5 Years,1,3,Medium
Lead-crm Operations,0-2 Years,1,2,Low
Mega Interview for Domestic Voice Processes(day Shift) 7May,Fresher,1,1,Low
Manager-internal Auditing,3-5 Years,1,3,Medium
National Sales Head - Lighting Industry,0-2 Years,1,2,Low
Assistant Designer cum Merchandiser,0-2 Years,1,2,Low
iOS Developer,3-5 Years,1,3,Medium
Graphic Designer - Start up,0-2 Years,1,2,Low
Affiliate Marketing,Fresher,1,1,Low
Merchandiser / Sr. Merchandiser - Exp. of U.S. or Australian Buyers.,0-2 Years,1,2,Low
Lead HRP FTH,Fresher,1,1,Low
Marketing Executive/marketing Manager(corporate Relation/tpa),3-5 Years,1,3,Medium
Regional Sales Manager,0-2 Years,1,2,Low
Marketing / HR Internship Trainees Required for 3-6 Months,Fresher,1,1,Low
Walk in : Backend Executive for an E-commerce Company,Fresher,1,1,Low
Senior- Assurance,0-2 Years,1,2,Low
Sales Manager ( Real Estate ),3-5 Years,1,3,Medium
Associate Sourcing Manager,0-2 Years,1,2,Low
Bulk Opening for PHP Developer_day Shift_it Firm,0-2 Years,1,2,Low
Team Leader - Noida and Mumbai,0-2 Years,1,2,Low
Required MO for Two Wheeler - Indusind Bank - Delhi and Meerut,0-2 Years,1,2,Low
Concentrix Hiring Graduates Freshers cal 9871119368,0-2 Years,1,2,Low
Hiring for Hindi Call Center_for Vodafone/naukri/marriage Process,Fresher,1,1,Low
Php Web Developer/web Designer,0-2 Years,1,2,Low
Senior Customer Support Engineer,3-5 Years,1,3,Medium
Sr. Manager / Manager - Legal from Real Estate Industry Only.,0-2 Years,1,2,Low
Opening for Sales Executive/asst.manager/manager/agm - Marketing,Fresher,1,1,Low
Assistant Art Director,3-5 Years,1,3,Medium
Java Developer ( Job Location: Ahmedabad),0-2 Years,1,2,Low
Sales & Relationship Officer - Credit Card Sales,0-2 Years,1,2,Low
Java Developer,0-2 Years,1,2,Low
Assistant Marketing Manager @ Gurgaon,3-5 Years,1,3,Medium
UI / UX Designer,0-2 Years,1,2,Low
Urgent Opening for Manager - Channel Sales,3-5 Years,1,3,Medium
Uk Based Airlines Hiring for Travel Process-call Simar-9953440979,Fresher,1,1,Low
Opening for the Position of Regional Coordinator with Elixirct,0-2 Years,1,2,Low
SAS Developer - Urgent Requirmnet,3-5 Years,1,3,Medium
Require Field Sales Executive,Fresher,1,1,Low
Civil Structural Engineer,0-2 Years,1,2,Low
Communication Specialist - Media,3-5 Years,1,3,Medium
Sr. Engineer- Firmware,0-2 Years,1,2,Low
Concentrix- Hiring for Voice cal,Fresher,1,1,Low
Teacher Required for Plus 2 Level Subjects - Delhi,Fresher,1,1,Low
Design Engineer,0-2 Years,1,2,Low
"R & D Executive/garment Technician,10yrs,50k,export House, Gurgaon",Fresher,1,1,Low
Node.js Team Lead,3-5 Years,1,3,Medium
Tibco Developer,3-5 Years,1,3,Medium
Japanese Translator,Fresher,1,1,Low
Merchandiser - Bag,3-5 Years,1,3,Medium
Devops Engineer - Startup,0-2 Years,1,2,Low
Urgent Opening for Equtiy Dealer @ Kotak Securities Ltd,0-2 Years,1,2,Low
Social Media Intern/ Executive/ Manager,Fresher,1,1,Low
Animator - Male & Female ( For Reputed Animation Company ),Fresher,1,1,Low
"Back Office Executives - UK Shifts, US Shifts",0-2 Years,1,2,Low
Hiring for Back Office Profile,Fresher,1,1,Low
Snr Software Developer,0-2 Years,1,2,Low
"Sales Executive, 0 - 2 Yr",Fresher,1,1,Low
Junior Database Administrator,Fresher,1,1,Low
Analyst / Snr data Analyst( Sas / sql exp Must) - Gurg. Ph -8860166766,0-2 Years,1,2,Low
Telecaller B.p.o,Fresher,1,1,Low
Part Time Jobs To Earn An Extra Income,Fresher,1,1,Low
Windows Administrator,3-5 Years,1,3,Medium
Hiring for Part Time / Freelancer PHP Developer for US Based Company,0-2 Years,1,2,Low
"Technical Sales Executive, call Keshav Adhikari @ 9899737856",0-2 Years,1,2,Low
MBA Fresher - HR Trainee (walk Interview),Fresher,1,1,Low
Weekends OFF / Fixed Shift /pilot Process. SAL 45K. CAL 09620229588,Fresher,1,1,Low
"Sales Manager-events, Alliances and Institutions(leading Leisure Firm)",3-5 Years,1,3,Medium
Officer Fundraising- Tele-facing / Tele Calling,0-2 Years,1,2,Low
Assistant Manager / Deputy Manager - Accounts (CA),3-5 Years,1,3,Medium
Customer Service. Banking Process. Sal upto 30K. 9711774420,Fresher,1,1,Low
Hiring Non Tech Graduate Freshers for Blended Process_ggn_9811719124,Fresher,1,1,Low
Immediate Hiring for the Profile of Telecaller @ Frontline Group,Fresher,1,1,Low
Actuary Analyst - KPO - Noida and Gurgaon,0-2 Years,1,2,Low
Manager-commentries,3-5 Years,1,3,Medium
Open SCM (metro Projects),0-2 Years,1,2,Low
Internal Audit Big4 Consulting Across Levels.,3-5 Years,1,3,Medium
Telugu / Tamil / Kannada Hiring in Voice Process Salary up 19 k Inhand,Fresher,1,1,Low
Senior Manager/associate Director/director - Seller Score/quality,0-2 Years,1,2,Low
Customer Service Associate - Domestic BPO Salary upto 16k Inhand,Fresher,1,1,Low
Senior Marketing Manager - Bus/ Automotive Industry/ Gurgaon,Fresher,1,1,Low
Store Manager,0-2 Years,1,2,Low
Hiring Cluster Manager - Life Insurance Company@rajasthan and Haryana,3-5 Years,1,3,Medium
Project Associate,5+ Years,1,4,Medium
PHP Developer/senior Php Developer,3-5 Years,1,3,Medium
System Engineer,0-2 Years,1,2,Low
"Senior Operations Manager, Food Safety",Fresher,1,1,Low
Application Engineer,0-2 Years,1,2,Low
"Opening For HR Recruiter ~ Walk IN on 7th May, 2016",0-2 Years,1,2,Low
Hiring Course Coordinators and Counsellors - Education Group,0-2 Years,1,2,Low
Regional Manager UP West & Dehradun -upvc Windows,3-5 Years,1,3,Medium
Sr. Account Executive (client Servicing),3-5 Years,1,3,Medium
Algorithm Engineer - Startup,0-2 Years,1,2,Low
Assistant Manager Front Office,0-2 Years,1,2,Low
Content Writer,0-2 Years,1,2,Low
Head of Procurement Governance & Change (associate Director),0-2 Years,1,2,Low
Symfony/mongodb/zf2/laravel/yii with PHP Developer,0-2 Years,1,2,Low
Hiring Tech Support Executives for the Biggest Mobile Brand.,Fresher,1,1,Low
Gurgaon: Marketing Associate/content Manager,Fresher,1,1,Low
Require Office Assistant in Rohini,0-2 Years,1,2,Low
Sr.manager/avp- Sales & Marketing Analytics (presales)-kpo,0-2 Years,1,2,Low
"Urgent 4 Technical Sales, Telephonic Interviews, CALL 9899737856",0-2 Years,1,2,Low
Plant Head (extrustion Moulding) for Reputed MNC Company- Noida,Fresher,1,1,Low
Branch Manager - Bancassurance (delhi / Noida / Faridabad / Gurgaon),0-2 Years,1,2,Low
Female Front Office Receptionist,Fresher,1,1,Low
Angular Developer,0-2 Years,1,2,Low
IOS Developer,0-2 Years,1,2,Low
Php Developer,0-2 Years,1,2,Low
Startup Software Engineer / Test Engineer,0-2 Years,1,2,Low
Business Development Specialist (south Delhi),Fresher,1,1,Low
Manager Sales,5+ Years,1,4,Medium
Marketing Mgr !! Social Media/ Digital/ecommerce!! Immediate Joiners,Fresher,1,1,Low
Sr.executive HR 4'th Starhotel Country Inn & Suits for Gurgaon Sec-12,3-5 Years,1,3,Medium
Immediate Joining Requirement ||manual Testing- Mobile App,0-2 Years,1,2,Low
Planning & Costing Engineer,0-2 Years,1,2,Low
"Java, Struts2.0 & Spring Developer | Gurgaon | Early Joining",3-5 Years,1,3,Medium
Angular js Developer,0-2 Years,1,2,Low
Junior Engineer Civil,Fresher,1,1,Low
Walkins Senior Executive - Client Servicing on 09th & 10th May 2016,Fresher,1,1,Low
Jr. SAS Programmer,3-5 Years,1,3,Medium
TEST LEAD,3-5 Years,1,3,Medium
Executive/ Senior Executive-customer Experience Analyst,Fresher,1,1,Low
MD /DNB Medicine / Family Medicine - Max Shalimar Bagh,Fresher,1,1,Low
Management Trainee - Male,0-2 Years,1,2,Low
Analyst - CFA/ FRM,0-2 Years,1,2,Low
Director / Senior Director - Operations - BPO,Fresher,1,1,Low
Vacancy for Microbiologist,0-2 Years,1,2,Low
Urgent Requiremnt for IT Recruiters for DAY Shift - Noida Location,0-2 Years,1,2,Low
Clinical Research Fresher/trainee,Fresher,1,1,Low
Hiring for New Vertical in Quikr - Direct Payroll,0-2 Years,1,2,Low
"Walk-in @ Noida, Sec 15 for Saburi TLC on 7th May, 16",Fresher,1,1,Low
Domestic BPO Hiring For Voice Process,Fresher,1,1,Low
Looking for Business Development Manager in Gurgaon with an IT Company,3-5 Years,1,3,Medium
Area Sales Executive,0-2 Years,1,2,Low
Backend/back Office,Fresher,1,1,Low
Senior Specialist,3-5 Years,1,3,Medium
Social Media Manager - Start up,0-2 Years,1,2,Low
Sales Executives and Sales Managers,Fresher,1,1,Low
Required Sous Chef for Chain For Kuwait,0-2 Years,1,2,Low
"Education Counsellor, upto 25k, Interview on 5th May, Okhla",Fresher,1,1,Low
iOS Developer - Objective C/swift,0-2 Years,1,2,Low
Sales Manager - Bancassurance (delhi / Noida / Faridabad / Gurgaon),0-2 Years,1,2,Low
Startup Back End Developer - Spring/ Java,Fresher,1,1,Low
"Hiring for Tc$$,j/p Morga@n,amâ‚¬x,gâ‚¬npact and Accâ‚¬ntur",0-2 Years,1,2,Low
Convergys Walkin 7 May Hiring -call 9628373767,Fresher,1,1,Low
Urgent Requirement for Tibco Developer,3-5 Years,1,3,Medium
Salary @ Day 1 - Treat Friends on Getting Job | No Wait till Salary,Fresher,1,1,Low
PHP Developer,3-5 Years,1,3,Medium
Graphic Designer-company in Solar Products-delhi NCR,0-2 Years,1,2,Low
UI Developer,Fresher,1,1,Low
Nw-routing &switching-l1_imts_se_delhi,3-5 Years,1,3,Medium
Manager - Indirect Tax,3-5 Years,1,3,Medium
Business Development - Consulting,3-5 Years,1,3,Medium
Market Research Analyst (B2B Voice Process),Fresher,1,1,Low
Executive / Sr. Executive - Business Development at Gurgaon,Fresher,1,1,Low
Engineer - Electrical / Mechanical & Electrician / Fitter,Fresher,1,1,Low
Windows Administrator -urgent Requiremnet,3-5 Years,1,3,Medium
Software Developer - C++/shell/perl/algorithm,0-2 Years,1,2,Low
HR Paryoll | HR Internship | HR Management Trainee - 01165001036,Fresher,1,1,Low
Technical Architect ll Product Development (only) ll Delhi/ncr,0-2 Years,1,2,Low
Immediate Opening for Datawarehouse/etl,3-5 Years,1,3,Medium
Job Opening for Freshers at Kotak Securities Ltd,Fresher,1,1,Low
Full Stack PHP Developer -0 Start up,3-5 Years,1,3,Medium
Site Engineer Civil,3-5 Years,1,3,Medium
Convergys Gurgaon Hiring Technical Support Associate-call 9628373767,Fresher,1,1,Low
Php Developer,Fresher,1,1,Low
Sales Operations Manager - Outbound Travel,3-5 Years,1,3,Medium
Consultant/ Assistant Manager/ Deputy Manager/ Manager,0-2 Years,1,2,Low
Manager - Human Resource - Startup - XLRI / TISS,3-5 Years,1,3,Medium
Electronics Design Engineer,Fresher,1,1,Low
Oracle Apps Technical Consultant || Immediate Joiner.,0-2 Years,1,2,Low
Dy. Manager - QA Market Information,3-5 Years,1,3,Medium
Iphone Developer@noida/gurgaon/mumbai,0-2 Years,1,2,Low
"Urgently Looking for Sales Exe, Store Mgr, FIT Sales, TM Sales 2014 In",0-2 Years,1,2,Low
Customer Care Executive / BPO Call Center Executive Call :- 9560855305,Fresher,1,1,Low
Procurement (furniture & Fixture),0-2 Years,1,2,Low
Wanted Home Tutor for Gre/gmat/toefl/ielts,0-2 Years,1,2,Low
Back Office Executive / Data Entry Operator,Fresher,1,1,Low
Customer Care Executive,Fresher,1,1,Low
Delivery Mgt Consultant (service Desk COE),0-2 Years,1,2,Low
Great Opportunity - Agency Manager with MAX Life Insurance -,3-5 Years,1,3,Medium
Office Manager,Fresher,1,1,Low
Android Mobile Application Developer.,0-2 Years,1,2,Low
Manager/senior Manager - SCM Planning & S&OP - Tyre/fmcg/auto Industry,Fresher,1,1,Low
Urgent REQD Manager-accounts & Finance (printing & Pakaging Ind )noida,Fresher,1,1,Low
Business Development - Trainings,0-2 Years,1,2,Low
Graphic Designer,0-2 Years,1,2,Low
Urgent Requirement of SUN Engineers for Delhi Location,0-2 Years,1,2,Low
Database Engineer,0-2 Years,1,2,Low
Client Servicing Executive (female Candidate),0-2 Years,1,2,Low
AM/ DM Finanace,3-5 Years,1,3,Medium
Opening for Office Executive Cum Secretary,0-2 Years,1,2,Low
Enterprise Risk Management System Co-ordinator - Manager / Senior Mana,Fresher,1,1,Low
Accenture is Hiring for Team Lead (TL) -contract Management,3-5 Years,1,3,Medium
Java Developer - Frontend for Gurgaon Location,3-5 Years,1,3,Medium
Tsm-service PAN India for Maruti Suzuki (2.6 yrs to 6.5 yrs Exp),0-2 Years,1,2,Low
Software Engineer/sr Software Engineer - Backend - Ecommerce Domain,3-5 Years,1,3,Medium
Flight Attendant,Fresher,1,1,Low
Immediate- IT / Ecommerce Recruiter- Delhi,Fresher,1,1,Low
Marketing Executive,0-2 Years,1,2,Low
Summer Internship - Sales & Marketing - May/june to July,Fresher,1,1,Low
Team Member-bi,0-2 Years,1,2,Low
Hiring for British Council Management - Non BPO Unit - Day Shift,Fresher,1,1,Low
IT Planning & Forecasting Manager Large MNC Gurgaon Itp&fm,0-2 Years,1,2,Low
Product Executive- Pharma Industry/ Delhi,Fresher,1,1,Low
An Urgent Opening for Agm/dgm,Fresher,1,1,Low
Junior Engineer Mechanical,Fresher,1,1,Low
Android java Developer,0-2 Years,1,2,Low
Techincal Lead L1,3-5 Years,1,3,Medium
Recruitment Professionals,0-2 Years,1,2,Low
Assistant Manager - TP - Domestic,3-5 Years,1,3,Medium
Junior Chemist,Fresher,1,1,Low
CA SOI Spectrum/ehealth with Leading MNC (urgent),3-5 Years,1,3,Medium
Business Development Manager-female,3-5 Years,1,3,Medium
Data Entry Executive/e-commerce Executive,0-2 Years,1,2,Low
UK Based Captive Center Hiring 50 Telesales Agents upto 40K Salary,0-2 Years,1,2,Low
Executive HR- Only MALE Candidates,0-2 Years,1,2,Low
Analyst/technical Lead Collaboration and Messaging,3-5 Years,1,3,Medium
Urgent Opening for Revit MEP Professional,0-2 Years,1,2,Low
"Urgent- Developer -asp.net +C# , call 9311305844",0-2 Years,1,2,Low
Business Development Manager (US IT Staffing),0-2 Years,1,2,Low
Manager/senior Manager - SCM Planning & S&OP - Tyre/fmcg/auto Industry,0-2 Years,1,2,Low
HR Recruiter MBA HR & Merketing Male Fresher Nehru Place,Fresher,1,1,Low
Urgently Hiring for Quality /sr. Quality Analyst for Domestic BPO,0-2 Years,1,2,Low
Technical Support job in Gurgaon - call 9628373767,Fresher,1,1,Low
Startup - Mobile App Developer,0-2 Years,1,2,Low
AGM - Events & Promotions ( MBA),0-2 Years,1,2,Low
Freelancer Recruiter CALL 8826281711,0-2 Years,1,2,Low
Urgent Opening for Sales - Executive/ Sr. Executive,0-2 Years,1,2,Low
International/corporate Sales-interviews on 4th(9-5)5th May-(9-2pm),0-2 Years,1,2,Low
Oracle Finance Functional Consultant,3-5 Years,1,3,Medium
Embedded Engineer,3-5 Years,1,3,Medium
Backend Process,Fresher,1,1,Low
Junior Engineer,Fresher,1,1,Low
Email Marketing Specialist - Urgently Required,0-2 Years,1,2,Low
Urgent Req - Branch Head - Delhi ( Dwarka & NFC),Fresher,1,1,Low
Senior Software Engineer,3-5 Years,1,3,Medium
Technical Assistant - Civil Engineering,5+ Years,1,4,Medium
Tour Sales Consultant- Outbound - Travel MNC - Delhi & Jalandhar,0-2 Years,1,2,Low
Junior .Net Developer,Fresher,1,1,Low
Sales & Marketing Manager - Delhi,Fresher,1,1,Low
Junior Developer,Fresher,1,1,Low
Intern-backend Developer,Fresher,1,1,Low
Investment Research Consulting Professionals Required | Gurgaon,0-2 Years,1,2,Low
Startup Graphic & Content Designer,0-2 Years,1,2,Low
Sr. Technical Writer ( Must - Passport),3-5 Years,1,3,Medium
Head - Talent Acquisition,3-5 Years,1,3,Medium
Purchase Manager,Fresher,1,1,Low
Looking for Full time Assignment Writers - Management/finance/nursing,3-5 Years,1,3,Medium
"Amex: 45K, G****gle: 30k, Call @ 8130133055, 9971033044",0-2 Years,1,2,Low
Sales Manager / Team Leader,0-2 Years,1,2,Low
Senior Frontend Developer,3-5 Years,1,3,Medium
Airtel Inbound Domestic call Center 9999810003,Fresher,1,1,Low
HR Executive | Sr. HR | HR Generalist| Payroll Executive,Fresher,1,1,Low
Manager - Pharmacy,0-2 Years,1,2,Low
Telesales / Telemarketing / Business Development / Lead Generation,Fresher,1,1,Low
Junior Design Engineer- Male / Female,Fresher,1,1,Low
Content Development - Mathematics,0-2 Years,1,2,Low
Urgent Opening for Dealer - Delhi,0-2 Years,1,2,Low
Sr. Microsoft MDS Developer,0-2 Years,1,2,Low
HR Consultant,0-2 Years,1,2,Low
Required Fresher B Tech Under Graduates for BPO Call Centre 9958895566,Fresher,1,1,Low
Walk-in_s/w Engg(b.tech(cs/it)/mca-15/16 Passout_may 7th _10am-12pm,Fresher,1,1,Low
Hiring for VNA Trainer for a Leading BPO.,3-5 Years,1,3,Medium
Junior Executive,Fresher,1,1,Low
"Manager - BI Analytics, Noida",0-2 Years,1,2,Low
Junior Analyst,Fresher,1,1,Low
Intern - Direct Tax,Fresher,1,1,Low
Business Development Executive - Start up,0-2 Years,1,2,Low
Game Developer (unity game Engine) - Start up,0-2 Years,1,2,Low
Assistant Team Lead/team Lead- North (punjab/haryana/up/rajasthan),0-2 Years,1,2,Low
Senior HR Recrutier,0-2 Years,1,2,Low
Chief Technology Officer - Startup,0-2 Years,1,2,Low
HR Payroll Executive / HR Executive / Sr. HR Executive ( BBA / MBA),Fresher,1,1,Low
Urgent !!! Sr Travel Sales Consultant for Travel MNC (delhi),0-2 Years,1,2,Low
Sr. Designers,0-2 Years,1,2,Low
Manager Business Development Brand Realty Services Ltd,3-5 Years,1,3,Medium
Healthcare Process,Fresher,1,1,Low
"Opening in General Insurance - Business Analyst, Gurgaon",3-5 Years,1,3,Medium
Sr. SAP Authorization,3-5 Years,1,3,Medium
DTP Operator,0-2 Years,1,2,Low
Assistant Manager Fleet Management (corporate),Fresher,1,1,Low
Office Assistant,Fresher,1,1,Low
Distance Education Coordinator,Fresher,1,1,Low
Relationship Manager / Sr. Relationship Manager - Real Estate,Fresher,1,1,Low
